Title,Dimension,Date,Description,Internal_Reaction_Screenshot_Ref,Feature_Screenshot_Ref,Customer_Quote,Internal_Reaction_Text,Is_Agentic_Icon,Module,Is_Ask_about_my_data
GPT Store,Industry Radar,"January 10, 2024",Marketplace for GPTs,,,,,No,,No
ChatGPT Team,Industry Radar,"January 10, 2024",Team/workspace plan for ChatGPT,,,,,No,,No
Sora,Industry Radar,"February 15, 2024",Text-to-video model announcement,,,,,No,,No
AI Platform Launch,AI Platform,"March 1, 2024",The AI platform is born - First feature to use the platform,,,,,No,,No
GPT-4o,Industry Radar,"May 13, 2024",OpenAI releases GPT-4o with enhanced speed and multimodal support,,,,,No,,No
AI Job Description Generator,Bob AI Feature,"June 5, 2024",First customer-facing AI feature,job_desc_slack.png,job_desc_ui.png,[Placeholder] This feature has been incredibly valuable for our team - Customer Name,,No,Hiring,No
OpenAI × Apple Partnership,Industry Radar,"June 10, 2024",ChatGPT integration into Apple experiences announced,,,,,No,,No
Generate Key Results,Bob AI Feature,"July 2, 2024","First feature fully implemented by team using AI platform, became gateway for other users",key_results_slack.png,key_results_ui.png,[Placeholder] This feature has been incredibly valuable for our team - Customer Name,,No,Goals,No
Bob Assistance Chatbot Launch,Bob AI Feature,"July 8, 2024",First service team worked on together,chatbot_slack.png,chatbot_ui.png,[Placeholder] This feature has been incredibly valuable for our team - Customer Name,,No,Bob Core,No
GPT-4o mini,Industry Radar,"July 18, 2024","OpenAI releases compact, cost-effective GPT-4o mini",,,,,No,,No
Generate Course Content,Bob AI Feature,"September 3, 2024",AI-powered course details content generation,course_content_slack.png,course_content_ui.png,"I see so many things which are authorised which will have us save a lot of time and energy. And it's very, it will be user friendly for our colleagues as well. So it will solve many challenges. - Zenitech",,No,Learning,No
AI Shoutouts,Bob AI Feature,"September 3, 2024",AI-generated employee recognition messages,,shoutouts_ui.png,[Placeholder] This feature has been incredibly valuable for our team - Customer Name,,No,Bob Core,No
o1 Reasoning Model,Industry Radar,"September 12, 2024",OpenAI introduces o1 with advanced reasoning capabilities,,,,,No,,No
Chatbot Streaming Support,Bob AI Feature,"September 23, 2024",Real-time streaming responses in chatbot,,streaming_ui.png,[Placeholder] This feature has been incredibly valuable for our team - Customer Name,,No,Bob Core,No
First Tools Workshop,AI Platform,"September 29, 2024",First workshop on the tools,,,,,No,,No
Canvas,Industry Radar,"October 3, 2024",New project interface for writing/coding alongside chat,,,,,No,,No
ChatGPT Search,Industry Radar,"October 31, 2024",Search capability integrated into ChatGPT,,,,,No,,No
Hiring AI Email Generator,Bob AI Feature,"December 3, 2024",Automated email generation for hiring workflows,,hiring_email_ui.png,[Placeholder] This feature has been incredibly valuable for our team - Customer Name,,No,Hiring,No
ChatGPT Pro,Industry Radar,"December 5, 2024",Higher-tier plan for ChatGPT,,,,,No,,No
o1 Pro,Industry Radar,"December 5, 2024",OpenAI launches o1 Pro with extended reasoning,,,,,No,,No
AI Chatbot Open for All,Bob AI Feature,"December 10, 2024",General availability of chatbot to all users,,chatbot_ga_ui.png,[Placeholder] This feature has been incredibly valuable for our team - Customer Name,,No,Bob Core,No
o3 & o3-mini,Industry Radar,"December 20, 2024",OpenAI previews next-gen reasoning models,,,,,No,,No
Survey Text Analysis,Bob AI Feature,"January 8, 2025","Second service created, first collaboration with Performance team",survey_analysis_slack.png,survey_analysis_ui.png,[Placeholder] This feature has been incredibly valuable for our team - Customer Name,,No,Surveys,No
Operator,Industry Radar,"January 23, 2025",Agent that can use its own browser for tasks (research preview),,,,,No,,No
Deep Research,Industry Radar,"February 2, 2025",Research/synthesis capability in ChatGPT,,,,,No,,No
Ask About My Data,Bob AI Feature,"February 24, 2025",Natural language queries over user data,ask_data_slack.png,ask_data_ui.png,[Placeholder] This feature has been incredibly valuable for our team - Customer Name,,No,Analytics,Yes
AI Scorecard Writeup Assistant,Bob AI Feature,"March 4, 2025",AI-powered scorecard writing assistance,scorecard_slack.png,scorecard_ui.png,[Placeholder] This feature has been incredibly valuable for our team - Customer Name,,Yes,Hiring,No
GPT-4o Image Generation,Industry Radar,"March 25, 2025",Native image generation capability tied to GPT-4o,,,,,No,,No
CV Parsing,Bob AI Feature,"April 2, 2025",Automated resume parsing,,cv_parsing_ui.png,[Placeholder] This feature has been incredibly valuable for our team - Customer Name,,No,Hiring,No
Ask About My Data - Time Off Grid,Bob AI Feature,"April 2, 2025",Natural language queries in time off management,,timeoff_data_ui.png,[Placeholder] This feature has been incredibly valuable for our team - Customer Name,,No,Timeoff,Yes
