Title,Customer_Quote,Date,Description,Dimension,Feature_Screenshot_Ref,Internal_Reaction_Screenshot_Ref,Internal_Reaction_Text,Is_Agentic_Icon,Is_Ask_about_my_data,Module
Ask About My Data,[Placeholder] This feature has been incredibly valuable for our team - Customer Name,"February 24, 2025",Natural language queries over user data,Bob AI Feature,ask_data_ui.png,ask_data_slack.png,,No,Yes,Analytics
Survey Text Analysis,[Placeholder] This feature has been incredibly valuable for our team - Customer Name,"January 8, 2025","Second service created, first collaboration with Performance team",Bob AI Feature,survey_analysis_ui.png,survey_analysis_slack.png,,No,No,Surveys
AI Job Description Generator,[Placeholder] This feature has been incredibly valuable for our team - Customer Name,"June 5, 2024",First customer-facing AI feature,Bob AI Feature,job_desc_ui.png,job_desc_slack.png,,No,No,Hiring
Generate Course Content,"I see so many things which are authorised which will have us save a lot of time and energy. And it's very, it will be user friendly for our colleagues as well. So it will solve many challenges. - Zenitech","September 3, 2024",AI-powered course details content generation,Bob AI Feature,course_content_ui.png,course_content_slack.png,,No,No,Learning
Hiring AI Email Generator,[Placeholder] This feature has been incredibly valuable for our team - Customer Name,"December 3, 2024",Automated email generation for hiring workflows,Bob AI Feature,hiring_email_ui.png,,,No,No,Hiring
Chatbot Streaming Support,[Placeholder] This feature has been incredibly valuable for our team - Customer Name,"September 23, 2024",Real-time streaming responses in chatbot,Bob AI Feature,streaming_ui.png,,,No,No,Bob Core
Generate Key Results,[Placeholder] This feature has been incredibly valuable for our team - Customer Name,"July 2, 2024","First feature fully implemented by team using AI platform, became gateway for other users",Bob AI Feature,key_results_ui.png,key_results_slack.png,,No,No,Goals
AI Chatbot Open for All,[Placeholder] This feature has been incredibly valuable for our team - Customer Name,"December 10, 2024",General availability of chatbot to all users,Bob AI Feature,chatbot_ga_ui.png,,,No,No,Bob Core
Bob Assistance Chatbot Launch,[Placeholder] This feature has been incredibly valuable for our team - Customer Name,"July 8, 2024",First service team worked on together,Bob AI Feature,chatbot_ui.png,chatbot_slack.png,,No,No,Bob Core
AI Shoutouts,[Placeholder] This feature has been incredibly valuable for our team - Customer Name,"September 3, 2024",AI-generated employee recognition messages,Bob AI Feature,shoutouts_ui.png,,,No,No,Bob Core
Agentic Engine POC - Formula Builder,,"April 30, 2025",First sparks of agentic engine - Agent work began with POC of formula builder,AI Platform,,,,Yes,No,
First Tools Workshop,,"September 29, 2024",First workshop on the tools,AI Platform,,,,No,No,
Async Workflow Support,,"May 15, 2025","Performance Review first consumer, later joined by Docs and Learning",AI Platform,,,,Yes,No,
Tools Registry Planning,,"May 1, 2025",Important step that preceded the agent,AI Platform,,,,Yes,No,
AI Platform Launch,,"March 1, 2024",The AI platform is born - First feature to use the platform,AI Platform,,,,No,No,
CV Parsing,[Placeholder] This feature has been incredibly valuable for our team - Customer Name,"April 2, 2025",Automated resume parsing,Bob AI Feature,cv_parsing_ui.png,,,No,No,Hiring
Goal Creation Enhancements,[Placeholder] This feature has been incredibly valuable for our team - Customer Name,"May 6, 2025",AI-powered improvements to goal setting,Bob AI Feature,goal_creation_ui.png,,,Yes,No,Goals
AI Scorecard Writeup Assistant,[Placeholder] This feature has been incredibly valuable for our team - Customer Name,"March 4, 2025",AI-powered scorecard writing assistance,Bob AI Feature,scorecard_ui.png,scorecard_slack.png,,Yes,No,Hiring
AI-Powered Evaluation Summaries,[Placeholder] This feature has been incredibly valuable for our team - Customer Name,"April 3, 2025",Automated candidate evaluation summaries,Bob AI Feature,eval_summary_ui.png,eval_summary_slack.png,,Yes,No,Hiring
AI Powered Evaluation Summary v2,[Placeholder] This feature has been incredibly valuable for our team - Customer Name,"May 20, 2025",Enhanced evaluation summary capabilities,Bob AI Feature,eval_summary_v2_ui.png,eval_summary_v2_slack.png,,Yes,No,Hiring
AI Course Creation,"Y de un día para el otro, me apareció el botón y dije, qué raro. O sea, no. Y dije, no, debe ser que lo van agregando. Y bueno, nada, me salvaron porque me ayudó un montón. Si bien hay algunos cursos que no los puedo hacer con ai, otros me sirven. - Grupo Faro Verde","May 8, 2025",Full AI-powered course creation,Bob AI Feature,course_creation_ui.png,course_creation_slack.png,,Yes,No,Learning
Mobile Evaluation Notes AI,[Placeholder] This feature has been incredibly valuable for our team - Customer Name,"April 8, 2025",AI assistance with mobile interview evaluation notes,Bob AI Feature,mobile_eval_ui.png,,,Yes,No,Hiring
CV Summary,[Placeholder] This feature has been incredibly valuable for our team - Customer Name,"May 9, 2025",Automated resume summaries,Bob AI Feature,cv_summary_ui.png,,,Yes,No,Hiring
Performance Reviews AI Summary,"How cool would it be that for those who do use one on ones in hybo in combination with AI, the next time they have the performance review that's based on everything that is being said in the last three months, in one on ones, all the notes, it actually comes with a summary. - Bynder","April 14, 2025",AI-generated performance review summaries,Bob AI Feature,perf_summary_ui.png,perf_summary_slack.png,,Yes,No,Performance
Ask About My Data - Time Off Grid,[Placeholder] This feature has been incredibly valuable for our team - Customer Name,"April 2, 2025",Natural language queries in time off management,Bob AI Feature,timeoff_data_ui.png,,,No,Yes,Timeoff
Ask About My Data - People Approvals,[Placeholder] This feature has been incredibly valuable for our team - Customer Name,"June 1, 2025",Natural language queries in people approvals,Bob AI Feature,approvals_data_ui.png,approvals_data_slack.png,,No,Yes,Analytics
CV Parsing for Agency Applications,[Placeholder] This feature has been incredibly valuable for our team - Customer Name,"September 1, 2025",Extended CV parsing for agency workflows,Bob AI Feature,agency_cv_ui.png,,,No,No,Hiring
Galileo Integration,[Placeholder] This feature has been incredibly valuable for our team - Customer Name,"May 20, 2025",Integration with Galileo platform,Bob AI Feature,galileo_ui.png,,,Yes,No,Learning
Ask About My Data - Position Management,[Placeholder] This feature has been incredibly valuable for our team - Customer Name,"June 1, 2025",Natural language queries in WFP position management,Bob AI Feature,position_data_ui.png,,,No,Yes,Workforce planning
AI-Generated Time Off Policy Summaries,[Placeholder] This feature has been incredibly valuable for our team - Customer Name,"September 1, 2025",Automated time off policy summaries,Bob AI Feature,timeoff_policy_ui.png,timeoff_policy_slack.png,,Yes,No,Timeoff
Ask About My Data - Compensation Event,[Placeholder] This feature has been incredibly valuable for our team - Customer Name,"July 1, 2025",Natural language queries in compensation event org rollup,Bob AI Feature,comp_data_ui.png,,,No,Yes,Compensation
AI-Powered Report Generation,[Placeholder] This feature has been incredibly valuable for our team - Customer Name,"September 1, 2025",Automated report creation,Bob AI Feature,report_gen_ui.png,report_gen_slack.png,,No,No,Analytics
Continuous Feedback AI Insights,[Placeholder] This feature has been incredibly valuable for our team - Customer Name,"September 1, 2025",AI-powered insights for continuous feedback (early adopters),Bob AI Feature,feedback_insights_ui.png,feedback_insights_slack.png,,Yes,No,Performance
Ask AI on Payroll Preview,[Placeholder] This feature has been incredibly valuable for our team - Customer Name,"September 1, 2025",AI assistance with payroll preview (US),Bob AI Feature,payroll_ai_ui.png,payroll_ai_slack.png,,No,Yes,Payroll
Tell Me About My Job Openings,[Placeholder] This feature has been incredibly valuable for our team - Customer Name,"August 1, 2025",Conversational AI for hiring insights,Bob AI Feature,job_openings_ui.png,,,No,Yes,Hiring
AI Features Toggles,[Placeholder] This feature has been incredibly valuable for our team - Customer Name,"November 1, 2025",Admin controls for AI feature enablement,Bob AI Feature,ai_toggles_ui.png,ai_toggles_slack.png,,No,No,
Castilian Spanish AI Translation,[Placeholder] This feature has been incredibly valuable for our team - Customer Name,"November 1, 2025",AI-powered Spanish localization,Bob AI Feature,,,,Yes,No,
Bob Companion Beta,"Yeah, great. It will be useful because they ask some question about policy about time off. If we can provide this information in the AI chat, it will be very useful... - Qatar Insurance Company","December 1, 2025",Beta launch of conversational AI companion,AI Platform,companion_beta_ui.png,companion_beta_slack.png,,Yes,No,
Docs AI Summary,[Placeholder] This feature has been incredibly valuable for our team - Customer Name,"October 1, 2025",AI-generated document summaries,Bob AI Feature,docs_summary_ui.png,,,Yes,No,Docs
AI Generated Survey,[Placeholder] This feature has been incredibly valuable for our team - Customer Name,"December 1, 2025",Full survey generation using AI,Bob AI Feature,survey_gen_ui.png,survey_gen_slack.png,,Yes,No,Surveys
Bob Skills AI Creation,"Weirdly, I'm quite excited about that. That is cool. It's going to generate the competency skills and such like... That's a really good starting point... Still saves an immense amount of work. - Grissan Renewable Energy","November 1, 2025",AI-powered skill creation and management,Bob AI Feature,skills_ai_ui.png,,,Yes,No,Skills
Skills Mapped to Learning Courses,[Placeholder] This feature has been incredibly valuable for our team - Customer Name,"November 1, 2025",AI mapping of skills to learning content,Bob AI Feature,skills_learning_ui.png,,,Yes,No,Learning
AI-Generated Survey Summaries,[Placeholder] This feature has been incredibly valuable for our team - Customer Name,"December 1, 2025",Automated survey text analysis and summaries,Bob AI Feature,survey_summary_ui.png,survey_summary_slack.png,,Yes,No,Surveys
Skills in Performance AI Insights,[Placeholder] This feature has been incredibly valuable for our team - Customer Name,"December 1, 2025",AI insights connecting skills to performance,Bob AI Feature,skills_perf_ui.png,,,Yes,No,Performance
AI Writing Assistant in Performance,[Placeholder] This feature has been incredibly valuable for our team - Customer Name,"October 1, 2025",AI writing assistance for performance reviews,Bob AI Feature,writing_assist_ui.png,writing_assist_slack.png,,Yes,No,Performance
GPT-4o mini,,"July 18, 2024","OpenAI releases compact, cost-effective GPT-4o mini",Industry Radar,,,,No,No,
o1 Reasoning Model,,"September 12, 2024",OpenAI introduces o1 with advanced reasoning capabilities,Industry Radar,,,,No,No,
o3 & o3-mini,,"December 20, 2024",OpenAI previews next-gen reasoning models,Industry Radar,,,,No,No,
o1 Pro,,"December 5, 2024",OpenAI launches o1 Pro with extended reasoning,Industry Radar,,,,No,No,
GPT-4o,,"May 13, 2024",OpenAI releases GPT-4o with enhanced speed and multimodal support,Industry Radar,,,,No,No,
